"Time","AirTran Airways Corporation: FL, #","Alaska Airlines Inc.: AS, #","Allegiant Air: G4, #","American Airlines Inc.: AA, #","Comair Inc.: OH (1), #","Continental Air Lines Inc.: CO, #","Delta Air Lines Inc.: DL, #","Endeavor Air Inc.: 9E, #","Envoy Air: MQ, #","ExpressJet Airlines Inc.: XE, #","ExpressJet Airlines LLC: EV, #","Frontier Airlines Inc.: F9, #","Hawaiian Airlines Inc.: HA, #","Horizon Air: QX, #","JetBlue Airways: B6, #","Mesa Airlines Inc.: YV, #","PSA Airlines Inc.: OH, #","Republic Airline: YX, #","SkyWest Airlines Inc.: OO, #","Southwest Airlines Co.: WN, #","Spirit Air Lines: NK, #","United Air Lines Inc.: UA, #","US Airways Inc.: US (Merged with America West 9/05, #","Virgin America: VX, #"
"12/01/2012",502,353,,1320,,,1567,,983,,1465,160,188,,544,296,,,1387,2512,,1121,790,120
"12/02/2012",513,364,,1460,,,1943,,1199,,1963,203,198,,625,328,,,1728,2837,,1343,1045,150
"12/03/2012",546,379,,1494,,,2018,,1270,,2108,194,192,,629,332,,,1785,3188,,1415,1072,154
"12/04/2012",538,377,,1443,,,1893,,1253,,1922,185,188,,572,305,,,1669,3188,,1309,1037,132
"12/05/2012",538,374,,1443,,,1969,,1253,,1984,203,193,,575,333,,,1680,3188,,1340,1117,136
"12/06/2012",544,379,,1495,,,2023,,1270,,2119,220,193,,630,344,,,1797,3188,,1419,1146,144
"12/07/2012",547,379,,1495,,,2026,,1268,,2120,219,212,,642,352,,,1793,3178,,1429,1142,150
"12/08/2012",504,355,,1321,,,1565,,983,,1464,163,188,,547,293,,,1393,2534,,1129,791,122
"12/09/2012",523,364,,1460,,,1940,,1198,,1976,199,198,,626,321,,,1725,2840,,1335,1045,151
"12/10/2012",542,379,,1495,,,2012,,1270,,2118,196,192,,631,328,,,1789,3184,,1415,1072,156
"12/11/2012",534,377,,1443,,,1888,,1253,,1930,182,188,,574,312,,,1667,3184,,1310,1037,138
"12/12/2012",534,374,,1443,,,1965,,1253,,1992,198,192,,578,342,,,1684,3184,,1339,1117,154
"12/13/2012",542,384,,1513,,,2017,,1280,,2127,221,194,,638,348,,,1795,3184,,1413,1146,158
"12/14/2012",545,413,,1517,,,2042,,1278,,2126,218,212,,646,362,,,1804,3187,,1424,1183,156
"12/15/2012",501,376,,1346,,,1571,,987,,1490,179,188,,560,297,,,1413,2553,,1129,803,138
"12/16/2012",523,396,,1482,,,1916,,1207,,1957,214,198,,632,333,,,1725,2854,,1343,1047,150
"12/17/2012",543,415,,1516,,,1996,,1280,,2126,229,194,,643,334,,,1788,3188,,1407,1073,158
"12/18/2012",539,414,,1465,,,1876,,1263,,1956,223,190,,619,316,,,1691,3188,,1328,1042,154
"12/19/2012",540,411,,1465,,,1976,,1262,,2177,223,196,,639,372,,,1859,3188,,1482,1156,159
"12/20/2012",543,418,,1517,,,2044,,1280,,2195,231,198,,696,376,,,1873,3188,,1497,1176,163
"12/21/2012",573,418,,1517,,,2047,,1278,,2209,238,212,,707,384,,,1871,3289,,1503,1174,162
"12/22/2012",523,392,,1346,,,1640,,987,,1694,179,188,,667,355,,,1556,3230,,1306,989,158
"12/23/2012",524,402,,1482,,,1685,,1207,,1895,207,199,,701,376,,,1631,2854,,1394,1101,160
"12/24/2012",500,396,,1322,,,1512,,1010,,1578,183,196,,698,309,,,1441,2395,,1206,941,134
"12/25/2012",505,334,,1287,,,1374,,1007,,1382,212,192,,693,345,,,1372,2346,,1276,1013,150
"12/26/2012",575,409,,1465,,,2011,,1263,,2209,227,198,,703,379,,,1861,3301,,1485,1119,162
"12/27/2012",570,415,,1517,,,2044,,1280,,2221,232,199,,704,378,,,1872,3302,,1499,1131,164
"12/28/2012",552,414,,1517,,,2040,,1278,,2230,240,212,,703,386,,,1867,3162,,1501,1130,162
"12/29/2012",500,391,,1346,,,1619,,987,,1658,177,188,,667,341,,,1498,2543,,1233,976,158
"12/30/2012",521,401,,1482,,,1679,,1207,,1891,203,199,,701,372,,,1634,2846,,1389,1070,160
"12/31/2012",479,402,,1328,,,1524,,1010,,1603,205,196,,698,338,,,1475,2445,,1249,1065,140
"01/01/2013",488,383,,1465,,,1399,479,1263,,1548,207,191,,704,362,,,1549,2575,,1419,1036,160
"01/02/2013",546,411,,1465,,,2019,867,1263,,2219,220,196,,702,374,,,1859,3166,,1498,1132,160
"01/03/2013",541,417,,1517,,,1961,866,1280,,2103,222,200,,701,368,,,1770,3131,,1395,1138,148
"01/04/2013",547,416,,1517,,,1951,854,1278,,2083,218,211,,700,369,,,1783,3100,,1392,1103,156
"01/05/2013",453,381,,1346,,,1503,491,989,,1339,166,186,,657,324,,,1404,2502,,1094,974,154
"01/06/2013",490,395,,1482,,,1867,759,1207,,1925,200,197,,689,366,,,1722,2578,,1312,1093,158
"01/07/2013",503,397,,1514,,,1958,852,1279,,2039,221,195,,655,348,,,1758,3042,,1364,1119,152
"01/08/2013",496,387,,1438,,,1842,792,1253,,1851,162,187,,601,313,,,1609,3050,,1250,1020,114
"01/09/2013",493,386,,1430,,,1909,827,1249,,1917,162,189,,593,359,,,1656,3042,,1271,1150,125
"01/10/2013",495,393,,1482,,,1974,856,1264,,2049,210,192,,647,366,,,1774,3042,,1375,1174,145
"01/11/2013",498,393,,1482,,,1975,852,1262,,2047,208,210,,648,368,,,1779,3043,,1384,1174,148
"01/12/2013",463,361,,1315,,,1525,496,976,,1320,131,186,,564,308,,,1388,2215,,1077,909,112
"01/13/2013",481,378,,1450,,,1894,765,1192,,1870,190,193,,634,336,,,1699,2571,,1299,1041,136
"01/14/2013",499,393,,1481,,,1958,853,1264,,2033,216,193,,643,336,,,1754,3044,,1358,1096,140
"01/15/2013",490,387,,1426,,,1843,794,1249,,1845,156,187,,577,309,,,1606,3044,,1247,1020,115
"01/16/2013",492,386,,1428,,,1914,827,1249,,1908,157,189,,574,355,,,1644,3044,,1280,1150,126
"01/17/2013",496,393,,1482,,,1971,856,1264,,2047,207,192,,628,360,,,1777,3044,,1374,1170,145
"01/18/2013",498,393,,1482,,,1967,850,1262,,2039,209,210,,632,362,,,1780,3043,,1384,1172,148
"01/19/2013",464,353,,1315,,,1466,490,976,,1298,126,186,,549,302,,,1387,2207,,1075,901,111
"01/20/2013",481,371,,1450,,,1601,486,1192,,1670,188,191,,618,336,,,1609,2573,,1298,1017,132
"01/21/2013",499,389,,1481,,,1909,809,1264,,2004,216,191,,631,340,,,1738,3044,,1356,1076,137
"01/22/2013",490,387,,1426,,,1836,797,1249,,1839,155,187,,570,309,,,1604,3044,,1249,1020,115
"01/23/2013",492,386,,1428,,,1911,828,1249,,1901,159,189,,568,357,,,1647,3044,,1273,1150,126
"01/24/2013",498,393,,1482,,,1974,849,1264,,2046,211,190,,624,360,,,1778,3044,,1373,1172,145
"01/25/2013",497,393,,1482,,,1974,853,1262,,2028,213,210,,628,362,,,1779,3031,,1384,1172,148
"01/26/2013",461,361,,1315,,,1519,501,976,,1310,129,184,,545,302,,,1408,2169,,1071,907,112
"01/27/2013",481,378,,1450,,,1891,773,1192,,1860,194,189,,615,336,,,1700,2569,,1302,1041,136
"01/28/2013",499,393,,1481,,,1956,852,1264,,2024,216,193,,629,336,,,1759,3040,,1360,1096,140
"01/29/2013",491,387,,1426,,,1838,796,1249,,1842,162,184,,571,307,,,1610,3040,,1247,1020,115
"01/30/2013",493,386,,1428,,,1906,832,1249,,1896,161,190,,568,355,,,1653,3040,,1276,1150,126
"01/31/2013",498,393,,1482,,,1971,856,1264,,2034,212,194,,626,362,,,1779,3048,,1382,1174,145
"02/01/2013",497,393,,1486,,,1977,861,1262,,2026,218,208,,631,362,,,1778,3035,,1394,1174,148
"02/02/2013",461,361,,1315,,,1519,491,976,,1298,131,188,,549,302,,,1387,2191,,1083,907,112
"02/03/2013",481,378,,1450,,,1695,527,1192,,1732,198,194,,618,338,,,1618,2491,,1303,1049,136
"02/04/2013",499,393,,1485,,,1976,832,1264,,2006,220,194,,638,340,,,1753,3048,,1390,1110,140
"02/05/2013",491,387,,1426,,,1857,785,1249,,1834,163,188,,573,311,,,1609,3040,,1249,1024,115
"02/06/2013",493,386,,1428,,,1925,819,1249,,1892,162,192,,570,359,,,1653,3040,,1272,1154,126
"02/07/2013",499,393,,1482,,,1990,841,1264,,2032,215,194,,628,362,,,1780,3040,,1377,1174,145
"02/08/2013",494,393,,1482,,,1993,842,1262,,2025,218,208,,633,362,,,1785,3039,,1391,1176,148
"02/09/2013",461,363,,1315,,,1534,488,976,,1308,124,188,,552,302,,,1394,2207,,1077,918,113
"02/10/2013",481,386,,1450,,,1908,761,1192,,1851,195,194,,625,348,,,1703,2575,,1300,1082,137
"02/11/2013",500,401,,1481,,,1976,840,1264,,2022,216,194,,635,338,,,1762,3036,,1360,1100,141
"02/12/2013",493,391,,1430,,,1857,783,1249,,1833,161,188,,579,309,,,1616,3036,,1252,1022,116
"02/13/2013",499,394,,1426,,,1927,815,1249,,1906,163,192,,607,360,,,1659,3036,,1296,1162,126
"02/14/2013",522,401,,1512,,,1956,866,1251,,2176,213,194,,670,366,,,1852,3210,,1497,1228,146
"02/15/2013",517,401,,1518,,,2025,862,1248,,2186,209,208,,675,368,,,1866,3248,,1513,1237,150
"02/16/2013",492,367,,1344,,,1547,542,972,,1495,143,188,,628,308,,,1464,2475,,1224,935,120
"02/17/2013",505,382,,1483,,,1664,525,1178,,1724,188,194,,646,350,,,1663,2820,,1413,1073,134
"02/18/2013",523,398,,1517,,,1988,803,1250,,2159,216,194,,674,370,,,1855,3252,,1505,1219,150
"02/19/2013",519,391,,1465,,,1937,786,1233,,2148,172,188,,658,356,,,1803,3252,,1478,1184,124
"02/20/2013",516,394,,1466,,,1989,842,1233,,2051,201,192,,657,358,,,1718,3252,,1393,1172,133
"02/21/2013",524,401,,1519,,,2033,857,1250,,2206,214,194,,674,362,,,1860,3252,,1501,1181,146
"02/22/2013",519,401,,1518,,,2036,854,1248,,2199,209,208,,680,362,,,1862,3246,,1510,1182,147
"02/23/2013",492,367,,1344,,,1599,544,972,,1534,141,188,,628,314,,,1462,2482,,1227,930,119
"02/24/2013",505,386,,1483,,,1964,793,1178,,2019,190,194,,668,352,,,1771,2828,,1413,1080,139
"02/25/2013",523,401,,1517,,,2024,858,1250,,2195,213,192,,676,366,,,1850,3246,,1491,1181,144
"02/26/2013",519,391,,1465,,,1940,789,1233,,2003,167,188,,658,357,,,1656,3246,,1338,1170,124
"02/27/2013",520,394,,1466,,,1992,842,1233,,2037,199,192,,657,359,,,1717,3246,,1372,1172,133
"02/28/2013",524,401,,1519,,,2034,861,1250,,2209,202,194,,680,363,,,1862,3246,,1497,1181,146
"03/01/2013",519,401,,1518,,,2051,853,1248,,2222,201,208,,681,365,,,1860,3249,,1492,1182,147
"03/02/2013",492,367,,1345,,,1797,638,972,,1706,138,188,,628,329,,,1587,2489,,1296,937,121
"03/03/2013",505,387,,1483,,,2081,884,1178,,2128,187,194,,681,361,,,1799,2830,,1426,1098,137
"03/04/2013",525,403,,1517,,,2124,943,1250,,2254,214,194,,683,371,,,1875,3252,,1472,1200,144
"03/05/2013",519,393,,1465,,,2109,940,1233,,2117,168,188,,660,363,,,1764,3252,,1358,1183,124
"03/06/2013",522,398,,1466,,,2110,936,1233,,2138,200,192,,663,382,,,1791,3252,,1412,1229,133
"03/07/2013",528,404,,1519,,,2151,937,1250,,2251,208,194,,685,378,,,1890,3252,,1496,1253,146
"03/08/2013",520,405,,1522,,,2150,938,1248,,2259,207,208,,689,379,,,1895,3249,,1505,1257,146
"03/09/2013",504,377,,1344,,,1791,626,972,,1726,141,188,,635,347,,,1588,2751,,1298,1002,117
"03/10/2013",545,407,,1483,,,2076,882,1178,,2135,186,193,,683,372,,,1803,3060,,1428,1157,133
"03/11/2013",561,427,,1517,,,2121,945,1250,,2260,213,193,,688,371,,,1877,3398,,1475,1200,145
"03/12/2013",576,416,,1465,,,2109,940,1233,,2120,197,187,,666,359,,,1762,3398,,1358,1183,126
"03/13/2013",575,417,,1466,,,2130,938,1233,,2139,196,191,,669,380,,,1796,3398,,1409,1240,135
"03/14/2013",566,425,,1519,,,2152,940,1250,,2258,210,193,,689,378,,,1886,3398,,1503,1255,148
"03/15/2013",551,426,,1518,,,2146,940,1248,,2269,208,207,,690,379,,,1888,3398,,1512,1259,148
"03/16/2013",531,396,,1344,,,1782,618,972,,1731,140,187,,638,349,,,1588,2791,,1299,1011,130
"03/17/2013",542,414,,1487,,,2086,881,1178,,2152,187,193,,687,372,,,1801,3061,,1415,1152,141
"03/18/2013",561,429,,1517,,,2125,937,1250,,2263,213,193,,690,371,,,1874,3398,,1481,1200,149
"03/19/2013",575,418,,1465,,,2105,934,1233,,2135,197,187,,663,363,,,1762,3398,,1362,1183,128
"03/20/2013",574,417,,1466,,,2125,934,1233,,2156,196,191,,661,382,,,1793,3398,,1411,1240,139
"03/21/2013",563,425,,1519,,,2147,934,1250,,2262,208,193,,688,378,,,1886,3398,,1505,1255,152
"03/22/2013",550,426,,1518,,,2146,934,1248,,2279,207,207,,686,379,,,1896,3396,,1501,1259,152
"03/23/2013",532,393,,1344,,,1786,615,972,,1733,143,187,,635,350,,,1592,2791,,1293,1004,130
"03/24/2013",542,409,,1483,,,2082,881,1178,,2148,188,193,,689,370,,,1802,3060,,1417,1153,141
"03/25/2013",562,427,,1517,,,2125,937,1250,,2267,215,193,,684,371,,,1877,3398,,1475,1200,149
"03/26/2013",576,416,,1465,,,2105,934,1233,,2136,197,187,,673,363,,,1768,3398,,1359,1183,128
"03/27/2013",574,417,,1466,,,2126,934,1233,,2154,195,191,,674,382,,,1800,3398,,1406,1240,139
"03/28/2013",563,425,,1519,,,2127,934,1250,,2263,208,193,,684,378,,,1889,3398,,1499,1255,152
"03/29/2013",549,427,,1518,,,2147,934,1248,,2280,206,207,,680,374,,,1889,3397,,1503,1201,153
"03/30/2013",535,395,,1344,,,1771,620,972,,1741,140,187,,641,334,,,1590,2784,,1287,945,130
"03/31/2013",545,411,,1483,,,2046,800,1178,,2121,185,193,,679,367,,,1780,3052,,1409,1094,140
"04/01/2013",562,429,,1507,,,2114,940,1240,,2259,210,195,,684,378,,,1885,3396,,1466,1192,144
"04/02/2013",576,418,,1482,,,2095,936,1275,,2149,197,189,,674,371,,,1784,3396,,1334,1183,139
"04/03/2013",574,419,,1499,,,2115,936,1284,,2165,195,189,,673,382,,,1804,3396,,1386,1186,148
"04/04/2013",563,431,,1518,,,2127,936,1290,,2272,208,194,,684,378,,,1893,3396,,1460,1199,161
"04/05/2013",549,430,,1521,,,2131,934,1288,,2286,206,206,,680,382,,,1899,3390,,1460,1202,160
"04/06/2013",534,395,,1288,,,1760,615,997,,1732,142,187,,626,348,,,1596,2785,,1257,953,138
"04/07/2013",542,413,,1484,,,2059,886,1241,,2149,190,190,,680,382,,,1805,3062,,1375,1144,150
"04/08/2013",563,428,,1520,,,2141,932,1290,,2271,221,194,,683,377,,,1870,3378,,1447,1202,158
"04/09/2013",575,417,,1488,,,2086,920,1284,,2155,175,189,,669,374,,,1737,3378,,1357,1174,141
"04/10/2013",574,421,,1499,,,2129,932,1284,,2166,206,190,,674,380,,,1751,3378,,1391,1179,148
"04/11/2013",560,429,,1518,,,2153,931,1290,,2303,210,194,,682,380,,,1853,3378,,1461,1191,163
"04/12/2013",545,430,,1521,,,2156,934,1288,,2308,222,206,,687,384,,,1854,3387,,1465,1192,160
"04/13/2013",518,395,,1288,,,1799,541,997,,1598,147,188,,633,346,,,1432,2762,,1162,944,140
"04/14/2013",508,410,,1484,,,2108,863,1241,,2155,186,192,,683,382,,,1801,3002,,1363,1140,150
"04/15/2013",522,430,,1520,,,2150,926,1290,,2291,222,194,,685,382,,,1842,3386,,1451,1185,158
"04/16/2013",518,420,,1488,,,2084,914,1284,,2158,174,189,,674,376,,,1732,3386,,1344,1174,141
"04/17/2013",518,421,,1499,,,2126,926,1284,,2168,206,190,,675,380,,,1751,3386,,1383,1179,148
"04/18/2013",521,429,,1518,,,2152,927,1290,,2299,210,194,,683,380,,,1847,3386,,1458,1192,161
"04/19/2013",517,430,,1523,,,2154,928,1288,,2309,221,206,,687,384,,,1851,3381,,1464,1191,160
"04/20/2013",454,397,,1288,,,1795,545,997,,1592,144,188,,631,346,,,1428,2542,,1161,939,140
"04/21/2013",509,414,,1484,,,2111,866,1241,,2157,187,192,,682,382,,,1797,3009,,1360,1140,150
"04/22/2013",523,429,,1522,,,2137,926,1290,,2292,223,194,,678,382,,,1848,3388,,1450,1184,158
"04/23/2013",517,418,,1488,,,2081,914,1284,,2160,176,189,,655,376,,,1736,3388,,1348,1174,145
"04/24/2013",520,419,,1499,,,2119,926,1284,,2169,208,190,,651,378,,,1755,3388,,1389,1179,152
"04/25/2013",523,427,,1518,,,2152,927,1290,,2293,209,194,,668,380,,,1851,3388,,1463,1191,167
"04/26/2013",517,428,,1521,,,2152,926,1288,,2308,224,206,,673,384,,,1855,3383,,1462,1191,166
"04/27/2013",455,396,,1288,,,1790,537,997,,1590,164,188,,606,346,,,1430,2541,,1161,935,145
"04/28/2013",511,410,,1484,,,2096,870,1241,,2154,197,192,,668,382,,,1796,3010,,1364,1140,157
"04/29/2013",523,424,,1520,,,2135,924,1290,,2295,226,193,,666,382,,,1846,3376,,1446,1184,164
"04/30/2013",520,414,,1488,,,2084,907,1284,,2163,175,187,,642,379,,,1740,3376,,1342,1174,142
"05/01/2013",519,415,,1499,,,2136,927,1284,,2154,213,189,,627,390,,,1740,3376,,1376,1179,154
"05/02/2013",525,423,,1520,,,2166,932,1290,,2259,217,194,,658,394,,,1845,3376,,1474,1191,171
"05/03/2013",519,424,,1523,,,2165,933,1288,,2267,226,206,,659,398,,,1847,3388,,1475,1191,174
"05/04/2013",456,390,,1290,,,1809,522,997,,1585,182,188,,592,366,,,1420,2546,,1133,937,153
"05/05/2013",512,405,,1490,,,2102,862,1239,,2120,207,192,,645,386,,,1779,3018,,1394,1141,165
"05/06/2013",522,422,,1522,,,2146,919,1290,,2248,225,194,,656,402,,,1845,3392,,1453,1182,174
"05/07/2013",520,412,,1490,,,2113,908,1284,,2122,177,190,,623,396,,,1719,3392,,1363,1175,161
"05/08/2013",519,413,,1501,,,2141,915,1284,,2134,215,191,,626,398,,,1733,3392,,1381,1182,162
"05/09/2013",525,422,,1523,,,2162,926,1288,,2253,217,195,,654,398,,,1845,3391,,1463,1186,171
"05/10/2013",519,423,,1525,,,2170,923,1286,,2258,227,205,,656,404,,,1844,3388,,1473,1187,174
"05/11/2013",456,388,,1292,,,1720,465,996,,1535,182,189,,592,372,,,1400,2552,,1132,939,153
"05/12/2013",511,405,,1488,,,1996,780,1239,,2061,208,194,,644,390,,,1720,3018,,1376,1138,165
"05/13/2013",522,430,,1524,,,2143,922,1290,,2258,225,195,,652,402,,,1842,3392,,1458,1182,174
"05/14/2013",519,422,,1492,,,2112,909,1284,,2130,177,190,,627,396,,,1719,3392,,1370,1174,161
"05/15/2013",519,424,,1503,,,2150,918,1284,,2132,215,191,,631,398,,,1733,3392,,1383,1182,162
"05/16/2013",525,433,,1522,,,2178,923,1290,,2250,223,193,,668,407,,,1845,3392,,1469,1234,171
"05/17/2013",520,434,,1525,,,2173,924,1288,,2254,235,207,,672,404,,,1849,3390,,1478,1188,174
"05/18/2013",458,400,,1292,,,1809,513,997,,1572,191,189,,616,372,,,1427,2560,,1141,938,153
"05/19/2013",511,416,,1488,,,2108,860,1241,,2106,213,194,,662,390,,,1788,3018,,1385,1138,164
"05/20/2013",523,438,,1524,,,2146,910,1290,,2260,231,195,,669,396,,,1855,3394,,1462,1182,173
"05/21/2013",520,428,,1492,,,2107,896,1284,,2134,216,190,,651,390,,,1736,3394,,1376,1174,161
"05/22/2013",521,429,,1503,,,2144,907,1284,,2138,221,191,,656,398,,,1751,3394,,1397,1226,162
"05/23/2013",524,437,,1522,,,2162,907,1290,,2261,226,195,,693,392,,,1867,3394,,1482,1224,171
"05/24/2013",519,439,,1525,,,2164,908,1288,,2264,239,207,,702,396,,,1863,3392,,1494,1222,173
"05/25/2013",421,404,,1289,,,1646,475,997,,1557,144,189,,640,349,,,1407,2262,,1143,918,147
"05/26/2013",480,393,,1273,,,1611,430,991,,1465,185,194,,645,349,,,1414,2358,,1141,921,157
"05/27/2013",521,442,,1523,,,2027,741,1298,,2021,236,195,,699,382,,,1768,2918,,1433,1172,175
"05/28/2013",520,434,,1492,,,2105,890,1292,,2264,222,190,,686,378,,,1841,3390,,1488,1171,163
"05/29/2013",519,435,,1503,,,2139,902,1292,,2144,226,191,,669,384,,,1745,3390,,1414,1167,162
"05/30/2013",524,443,,1522,,,2169,901,1296,,2261,226,195,,695,384,,,1859,3389,,1488,1177,173
"05/31/2013",520,444,,1526,,,2168,902,1294,,2274,239,207,,697,390,,,1862,3381,,1497,1179,175
"06/01/2013",457,410,,1292,,,1814,496,1001,,1598,191,199,,633,364,,,1446,2547,,1152,953,154
"06/02/2013",520,430,,1492,,,2117,852,1247,,2093,215,208,,686,396,,,1801,3130,,1400,1113,164
"06/03/2013",537,451,,1524,,,2154,901,1298,,2241,235,211,,692,407,,,1868,3392,,1475,1184,176
"06/04/2013",537,440,,1494,,,2119,888,1292,,2114,219,203,,666,404,,,1745,3392,,1392,1177,168
"06/05/2013",539,441,,1503,,,2148,898,1292,,2125,226,207,,668,414,,,1766,3392,,1401,1223,166
"06/06/2013",529,448,,1522,,,2176,905,1298,,2322,224,211,,695,412,,,1880,3392,,1522,1235,174
"06/07/2013",531,449,,1527,,,2179,899,1296,,2329,239,223,,697,416,,,1883,3394,,1524,1239,177
"06/08/2013",500,410,,1299,,,1796,504,1005,,1840,189,201,,626,381,,,1545,2829,,1293,999,159
"06/09/2013",525,469,,1488,,,2125,856,1249,,2231,212,208,,686,406,,,1849,3137,,1443,1120,169
"06/10/2013",535,487,,1524,,,2302,948,1298,,2332,234,211,,694,416,,,1892,3392,,1521,1235,178
"06/11/2013",533,482,,1476,,,2285,943,1284,,2281,217,203,,670,404,,,1875,3392,,1511,1176,169
"06/12/2013",539,476,,1542,,,2294,941,1307,,2281,226,207,,670,416,,,1876,3392,,1524,1223,167
"06/13/2013",533,483,,1560,,,2313,945,1314,,2329,225,211,,696,414,,,1886,3392,,1519,1234,175
"06/14/2013",530,486,,1561,,,2325,950,1313,,2332,239,223,,700,418,,,1892,3394,,1522,1239,177
"06/15/2013",500,461,,1427,,,2046,707,1087,,1945,187,201,,639,381,,,1615,2832,,1282,1002,159
"06/16/2013",524,475,,1533,,,2283,915,1272,,2270,212,208,,690,406,,,1845,3138,,1431,1120,169
"06/17/2013",535,487,,1558,,,2320,939,1314,,2335,232,211,,698,416,,,1886,3394,,1521,1235,178
"06/18/2013",535,482,,1555,,,2298,937,1312,,2281,220,203,,682,404,,,1868,3394,,1510,1176,173
"06/19/2013",539,476,,1556,,,2311,939,1312,,2283,226,207,,680,416,,,1878,3394,,1524,1223,171
"06/20/2013",533,483,,1560,,,2332,943,1314,,2325,224,210,,705,414,,,1884,3394,,1518,1234,175
"06/21/2013",530,486,,1561,,,2334,947,1313,,2329,239,231,,710,418,,,1895,3394,,1520,1239,177
"06/22/2013",500,461,,1427,,,2071,711,1087,,1938,187,206,,680,381,,,1624,2834,,1285,1000,159
"06/23/2013",524,475,,1533,,,2288,916,1272,,2260,212,213,,708,406,,,1861,3138,,1435,1120,169
"06/24/2013",535,487,,1557,,,2322,941,1314,,2337,232,217,,706,414,,,1889,3394,,1524,1236,178
"06/25/2013",535,482,,1555,,,2301,937,1312,,2280,219,209,,712,404,,,1869,3394,,1514,1176,173
"06/26/2013",539,476,,1556,,,2321,937,1312,,2285,225,213,,712,416,,,1885,3394,,1523,1223,171
"06/27/2013",533,483,,1560,,,2339,941,1314,,2319,224,215,,710,414,,,1888,3394,,1520,1234,175
"06/28/2013",530,486,,1561,,,2361,947,1313,,2321,239,231,,722,418,,,1896,3389,,1522,1240,177
"06/29/2013",500,461,,1427,,,2066,720,1087,,1945,189,206,,690,381,,,1635,2831,,1285,1000,159
"06/30/2013",524,475,,1533,,,2087,752,1272,,2168,213,213,,720,408,,,1756,3130,,1437,1122,169
"07/01/2013",535,487,,1558,,,2106,734,1314,,2072,235,217,,718,421,,,1728,3374,,1442,1187,178
"07/02/2013",535,482,,1555,,,2079,695,1312,,1961,227,209,,722,425,,,1688,3374,,1399,1179,173
"07/03/2013",539,474,,1546,,,2301,885,1301,,2228,227,213,,720,437,,,1868,3374,,1517,1227,174
"07/04/2013",533,432,,1251,,,1427,437,975,,1340,170,215,,684,368,,,1356,2361,,1101,882,157
"07/05/2013",530,467,,1436,,,1889,554,1179,,1625,212,231,,710,406,,,1469,2826,,1167,1060,143
"07/06/2013",500,460,,1426,,,2042,683,1087,,1961,194,206,,690,399,,,1633,2826,,1269,990,137
"07/07/2013",525,475,,1533,,,2299,931,1272,,2256,214,213,,720,426,,,1852,3134,,1422,1121,173
"07/08/2013",536,487,,1558,,,2339,949,1314,,2342,237,217,,718,438,,,1900,3394,,1518,1232,182
"07/09/2013",535,482,,1555,,,2319,940,1312,,2252,225,209,,718,426,,,1883,3394,,1520,1174,177
"07/10/2013",541,476,,1556,,,2331,943,1312,,2240,225,213,,716,438,,,1892,3394,,1523,1225,175
"07/11/2013",532,483,,1560,,,2357,945,1314,,2332,230,215,,719,438,,,1899,3394,,1524,1227,180
"07/12/2013",531,486,,1561,,,2364,947,1313,,2335,237,231,,722,442,,,1893,3394,,1521,1233,181
"07/13/2013",492,461,,1427,,,2047,694,1087,,1933,191,206,,690,401,,,1626,2834,,1267,997,163
"07/14/2013",517,475,,1533,,,2305,927,1272,,2251,212,213,,720,426,,,1843,3140,,1424,1115,172
"07/15/2013",530,487,,1558,,,2343,947,1314,,2337,235,217,,717,438,,,1904,3396,,1520,1232,179
"07/16/2013",531,482,,1555,,,2317,941,1312,,2226,219,209,,715,426,,,1881,3396,,1520,1174,175
"07/17/2013",533,476,,1556,,,2335,943,1312,,2220,219,213,,716,438,,,1890,3396,,1525,1225,173
"07/18/2013",528,483,,1560,,,2343,949,1314,,2331,230,215,,720,436,,,1895,3396,,1525,1227,177
"07/19/2013",529,486,,1561,,,2365,948,1313,,2330,235,230,,722,442,,,1892,3396,,1519,1233,180
"07/20/2013",492,461,,1427,,,2049,699,1087,,1912,194,205,,690,401,,,1632,2834,,1267,997,162
"07/21/2013",515,475,,1533,,,2297,932,1272,,2251,214,213,,720,426,,,1847,3140,,1425,1113,172
"07/22/2013",530,487,,1558,,,2343,949,1314,,2339,232,217,,718,438,,,1898,3396,,1520,1232,181
"07/23/2013",531,482,,1555,,,2317,941,1312,,2205,223,209,,718,426,,,1881,3396,,1521,1172,175
"07/24/2013",535,476,,1556,,,2326,943,1312,,2202,224,213,,713,438,,,1892,3396,,1524,1225,173
"07/25/2013",528,483,,1560,,,2331,945,1314,,2331,226,215,,724,438,,,1897,3396,,1521,1227,177
"07/26/2013",529,486,,1561,,,2347,948,1313,,2332,239,231,,726,442,,,1892,3396,,1520,1233,180
"07/27/2013",496,457,,1427,,,2037,698,1087,,1895,191,206,,692,401,,,1632,2834,,1268,998,162
"07/28/2013",510,471,,1534,,,2271,933,1272,,2250,216,212,,724,426,,,1845,3140,,1422,1115,172
"07/29/2013",530,487,,1558,,,2327,949,1314,,2341,233,215,,722,438,,,1898,3396,,1519,1233,181
"07/30/2013",528,481,,1555,,,2301,941,1312,,2173,225,207,,722,426,,,1881,3396,,1521,1172,175
"07/31/2013",537,475,,1556,,,2321,943,1312,,2208,225,211,,720,438,,,1890,3396,,1526,1225,173
"08/01/2013",526,481,,1560,,,2361,947,1307,,2301,230,210,,724,440,,,1897,3396,,1515,1227,177
