Entity,Code,Day,total_boosters
Africa,,2022-07-03,30386201
Africa,,2022-07-04,30388685
Africa,,2022-07-05,30695499
Africa,,2022-07-06,30703108
Africa,,2022-07-07,30713942
Africa,,2022-07-08,30722715
Africa,,2022-07-09,30731868
Africa,,2022-07-10,31443707
Africa,,2022-07-11,31445777
Africa,,2022-07-12,31452197
Africa,,2022-07-13,31462171
Africa,,2022-07-14,31470329
Africa,,2022-07-15,31477298
Africa,,2022-07-16,31782707
Africa,,2022-07-17,32276792
Africa,,2022-07-18,32300982
Africa,,2022-07-19,32836774
Africa,,2022-07-20,32848266
Africa,,2022-07-21,32860311
Africa,,2022-07-22,32868992
Africa,,2022-07-23,32874607
Africa,,2022-07-24,33041114
Africa,,2022-07-25,33042680
Africa,,2022-07-26,33050561
Africa,,2022-07-27,33585988
Africa,,2022-07-28,33592366
Africa,,2022-07-29,33598638
Africa,,2022-07-30,33604676
Africa,,2022-07-31,34256276
Africa,,2022-08-01,34257698
Africa,,2022-08-02,34266800
Africa,,2022-08-03,34272413
Africa,,2022-08-04,34276801
Africa,,2022-08-05,34280825
Africa,,2022-08-06,34284672
Africa,,2022-08-07,43953159
Africa,,2022-08-08,43953657
Africa,,2022-08-09,43979015
Africa,,2022-08-10,43980755
Africa,,2022-08-11,43985781
Africa,,2022-08-12,43989883
Africa,,2022-08-13,43994395
Africa,,2022-08-14,45351769
Africa,,2022-08-15,45552527
Africa,,2022-08-16,45557354
Africa,,2022-08-17,45564853
Africa,,2022-08-18,45570518
Africa,,2022-08-19,45579260
Africa,,2022-08-20,45586950
Africa,,2022-08-21,47026163
Africa,,2022-08-22,47048876
Africa,,2022-08-23,47052629
Africa,,2022-08-24,47065089
Africa,,2022-08-25,47073679
Africa,,2022-08-26,47077447
Africa,,2022-08-27,47086791
Africa,,2022-08-28,47272697
Africa,,2022-08-29,47272934
Africa,,2022-08-30,47557423
Africa,,2022-08-31,47560273
Africa,,2022-09-01,47563233
Africa,,2022-09-02,47566167
Africa,,2022-09-03,47568901
Africa,,2022-09-04,48946088
Africa,,2022-09-05,48946325
Africa,,2022-09-06,48948807
Africa,,2022-09-07,48951730
Africa,,2022-09-08,48959441
Africa,,2022-09-09,48962408
Africa,,2022-09-10,48964746
Africa,,2022-09-11,49264516
